phase_ns,object,q,slot,lower,upper
0,muon,0.001,1236,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1237,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1238,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1239,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1244,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,1245,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1246,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1247,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1248,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1249,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1250,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1251,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1256,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,1257,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1258,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1259,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1260,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1261,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1262,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1263,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1268,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,1269,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1270,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1271,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1272,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1273,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1274,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1275,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1283,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,1284,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1285,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1286,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1287,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1288,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1289,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1290,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1291,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1292,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1293,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1294,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1295,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1296,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1297,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1298,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1299,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1300,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1301,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1302,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1303,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1304,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1305,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1306,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1307,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1308,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1309,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1310,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1311,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1312,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1313,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1314,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1315,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1316,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1317,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1318,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1326,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,1327,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1328,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1329,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1330,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1331,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1332,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1333,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1334,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1335,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1336,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1337,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1338,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1339,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1340,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1341,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1342,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1343,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1344,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1345,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1346,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1347,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1348,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1349,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1350,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1351,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1352,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1353,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1354,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1355,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1356,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1357,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1358,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,1359,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1360,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1361,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1871,0.00018300303517229064,0.00018300303517229064
0,muon,0.001,2090,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,2091,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2092,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2093,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2094,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2095,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2096,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2097,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2102,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,2103,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2104,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2105,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2106,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2107,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2108,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2109,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2114,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,2115,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2116,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2117,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2118,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2119,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2120,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2121,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2126,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,2127,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2128,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2129,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2130,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2131,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2132,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2133,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2138,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,2139,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2140,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2141,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2142,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2143,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2144,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2145,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2150,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,2151,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2152,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2153,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2154,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2155,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2156,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2157,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2162,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,2163,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2164,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2165,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2166,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2167,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,2168,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,2169,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,2177,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,2178,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,2179,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,2180,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,2181,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,2182,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2183,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2184,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2185,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2186,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2187,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2188,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2189,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2190,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2191,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2192,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2193,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2194,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2195,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,2196,0.00018300303517229064,0.0009504552758435992
